Aleutians East Borough	Alaska	3,420	6985	
Aleutians West Census Area	Alaska	5,232	4393	
Anchorage Municipality	Alaska	291,247	1707	Anchorage, AK Metropolitan Statistical Area
Bethel Census Area	Alaska	18,666	40627	
Bristol Bay Borough	Alaska	844	482	
Chugach Census Area	Alaska	7,102	9530	
Copper River Census Area	Alaska	2,617	24692	
Denali Borough	Alaska	1,619	12641	
Dillingham Census Area	Alaska	4,857	18334	
Fairbanks North Star Borough	Alaska	95,655	7335	Fairbanks, AK Metropolitan Statistical Area
Haines Borough	Alaska	2,080	2343	
Hoonah–Angoon Census Area	Alaska	2,365	6555	
Juneau City and Borough	Alaska	32,255	2704	Juneau, AK Micropolitan Statistical Area
Kenai Peninsula Borough	Alaska	58,799	16017	
Ketchikan Gateway Borough	Alaska	13,948	4857	Ketchikan, AK Micropolitan Statistical Area
Kodiak Island Borough	Alaska	13,101	6689	
Kusilvak Census Area	Alaska	8,368	17077	
Lake and Peninsula Borough	Alaska	1,476	23832	
Matanuska-Susitna Borough	Alaska	107,081	24707	Anchorage, AK Metropolitan Statistical Area
Nome Census Area	Alaska	10,046	22969	
North Slope Borough	Alaska	11,031	88824	
Northwest Arctic Borough	Alaska	7,793	35663	
Petersburg Borough	Alaska	3,398	2901	
Prince of Wales-Hyder Census Area	Alaska	5,753	5268	
Sitka City and Borough	Alaska	8,458	2870	
Skagway Municipality	Alaska	1,240	434	
Southeast Fairbanks Census Area	Alaska	6,808	24831	
Wrangell City and Borough	Alaska	2,127	2556	
Yakutat City and Borough	Alaska	662	7623	
Yukon–Koyukuk Census Area	Alaska	5,343	145576	
