Apache	 Arizona	66,021	11218	
Cochise	 Arizona	125,447	6219	Sierra Vista-Douglas, AZ Metropolitan Statistical Area
Coconino	 Arizona	145,101	18661	Flagstaff, AZ Metropolitan Statistical Area
Gila	 Arizona	53,272	4796	Payson, AZ Micropolitan Statistical Area
Graham	 Arizona	38,533	4641	Safford, AZ Micropolitan Statistical Area
Greenlee	 Arizona	9,563	1848	
La Paz	 Arizona	16,557	4513	
Maricopa	 Arizona	4,420,568	9224	Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area
Mohave	 Arizona	213,267	13470	Lake Havasu City-Kingman, AZ Metropolitan Statistical Area
Navajo	 Arizona	106,717	9959	Show Low, AZ Micropolitan Statistical Area
Pima	 Arizona	1,043,433	9189	Tucson, AZ Metropolitan Statistical Area
Pinal	 Arizona	425,264	5374	Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area
Santa Cruz	 Arizona	47,669	1238	Nogales, AZ Micropolitan Statistical Area
Yavapai	 Arizona	236,209	8128	Prescott, AZ Metropolitan Statistical Area
Yuma	 Arizona	203,881	5519	Yuma, AZ Metropolitan Statistical Area
