Adair	 Iowa	7,496	569	
Adams	 Iowa	3,704	424	
Allamakee	 Iowa	14,061	640	
Appanoose	 Iowa	12,317	496	
Audubon	 Iowa	5,674	443	
Benton	 Iowa	25,575	716	Cedar Rapids, IA Metropolitan Statistical Area
Black Hawk	 Iowa	131,144	567	Waterloo-Cedar Falls, IA Metropolitan Statistical Area
Boone	 Iowa	26,715	572	Ames, IA Metropolitan Statistical Area
Bremer	 Iowa	24,988	428	Waterloo-Cedar Falls, IA Metropolitan Statistical Area
Buchanan	 Iowa	20,565	571	
Buena Vista	 Iowa	20,823	575	Storm Lake, IA Micropolitan Statistical Area
Butler	 Iowa	14,334	580	
Calhoun	 Iowa	9,927	570	
Carroll	 Iowa	20,760	569	Carroll, IA Micropolitan Statistical Area
Cass	 Iowa	13,127	564	
Cedar	 Iowa	18,505	580	
Cerro Gordo	 Iowa	43,127	568	Mason City, IA Micropolitan Statistical Area
Cherokee	 Iowa	11,658	577	
Chickasaw	 Iowa	12,012	505	
Clarke	 Iowa	9,748	431	
Clay	 Iowa	16,384	569	Spencer, IA Micropolitan Statistical Area
Clayton	 Iowa	17,043	779	
Clinton	 Iowa	46,460	695	Clinton, IA Micropolitan Statistical Area
Crawford	 Iowa	16,525	714	
Dallas	 Iowa	99,678	586	Des Moines-West Des Moines, IA Metropolitan Statistical Area
Davis	 Iowa	9,110	503	
Decatur	 Iowa	7,645	532	
Delaware	 Iowa	17,488	578	
Des Moines	 Iowa	38,910	416	Burlington, IA-IL Micropolitan Statistical Area
Dickinson	 Iowa	17,703	381	Spirit Lake, IA Micropolitan Statistical Area
Dubuque	 Iowa	99,266	608	Dubuque, IA Metropolitan Statistical Area
Emmet	 Iowa	9,388	396	
Fayette	 Iowa	19,509	731	
Floyd	 Iowa	15,627	501	
Franklin	 Iowa	10,019	582	
Fremont	 Iowa	6,605	511	
Greene	 Iowa	8,771	568	
Grundy	 Iowa	12,329	503	Waterloo-Cedar Falls, IA Metropolitan Statistical Area
Guthrie	 Iowa	10,623	591	Des Moines-West Des Moines, IA Metropolitan Statistical Area
Hamilton	 Iowa	15,039	577	
Hancock	 Iowa	10,795	571	
Hardin	 Iowa	16,878	569	
Harrison	 Iowa	14,582	697	Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area
Henry	 Iowa	20,482	434	
Howard	 Iowa	9,469	473	
Humboldt	 Iowa	9,597	434	
Ida	 Iowa	7,005	432	
Iowa	 Iowa	16,662	586	
Jackson	 Iowa	19,485	636	
Jasper	 Iowa	37,813	730	Des Moines, IA Metropolitan Statistical Area
Jefferson	 Iowa	15,663	435	Fairfield, IA Micropolitan Statistical Area
Johnson	 Iowa	152,854	614	Iowa City, IA Metropolitan Statistical Area
Jones	 Iowa	20,646	575	Cedar Rapids, IA Metropolitan Statistical Area
Keokuk	 Iowa	10,033	579	
Kossuth	 Iowa	14,828	973	
Lee	 Iowa	33,555	517	Fort Madison-Keokuk, IA-IL-MO Micropolitan Statistical Area
Linn	 Iowa	230,299	718	Cedar Rapids, IA Metropolitan Statistical Area
Louisa	 Iowa	10,837	402	
Lucas	 Iowa	8,634	431	
Lyon	 Iowa	11,934	588	
Madison	 Iowa	16,548	561	Des Moines-West Des Moines, IA Metropolitan Statistical Area
Mahaska	 Iowa	22,190	571	Oskaloosa, IA Micropolitan Statistical Area
Marion	 Iowa	33,414	554	Pella, IA Micropolitan Statistical Area
Marshall	 Iowa	40,105	572	Marshalltown, IA Micropolitan Statistical Area
Mills	 Iowa	14,484	437	Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area
Mitchell	 Iowa	10,565	469	
Monona	 Iowa	8,751	693	
Monroe	 Iowa	7,577	433	
Montgomery	 Iowa	10,330	424	
Muscatine	 Iowa	43,235	439	Muscatine, IA Micropolitan Statistical Area
O'Brien	 Iowa	14,182	573	
Osceola	 Iowa	6,192	399	
Page	 Iowa	15,211	535	
Palo Alto	 Iowa	8,996	564	
Plymouth	 Iowa	25,698	864	
Pocahontas	 Iowa	7,078	578	
Polk	 Iowa	492,401	570	Des Moines-West Des Moines, IA Metropolitan Statistical Area
Pottawattamie	 Iowa	93,667	954	Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area
Poweshiek	 Iowa	18,662	585	
Ringgold	 Iowa	4,663	538	
Sac	 Iowa	9,814	576	
Scott	 Iowa	174,669	458	Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area
Shelby	 Iowa	11,746	591	
Sioux	 Iowa	35,872	768	
Story	 Iowa	98,537	573	Ames, IA Metropolitan Statistical Area
Tama	 Iowa	17,135	721	
Taylor	 Iowa	5,896	534	
Union	 Iowa	12,138	424	
Van Buren	 Iowa	7,203	485	
Wapello	 Iowa	35,437	432	Ottumwa, IA Micropolitan Statistical Area
Warren	 Iowa	52,403	572	Des Moines-West Des Moines, IA Metropolitan Statistical Area
Washington	 Iowa	22,565	569	Iowa City, IA Metropolitan Statistical Area
Wayne	 Iowa	6,497	526	
Webster	 Iowa	36,999	715	Fort Dodge, IA Micropolitan Statistical Area
Winnebago	 Iowa	10,679	400	
Winneshiek	 Iowa	20,070	690	
Woodbury	 Iowa	105,941	873	Sioux City, IA-NE-SD Metropolitan Statistical Area
Worth	 Iowa	7,443	400	Mason City, IA Micropolitan Statistical Area
Wright	 Iowa	12,943	581	
