Barnstable	 Massachusetts	228,996	396	Barnstable Town, MA Metropolitan Statistical Area
Berkshire	 Massachusetts	129,026	931	Pittsfield, MA Metropolitan Statistical Area
Bristol	 Massachusetts	579,200	556	Providence-Warwick, RI-MA Metropolitan Statistical Area
Dukes	 Massachusetts	20,600	104	Vineyard Haven, MA Micropolitan Statistical Area
Essex	 Massachusetts	809,829	498	Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area
Franklin	 Massachusetts	71,029	702	Springfield, MA Metropolitan Statistical Area
Hampden	 Massachusetts	465,825	618	Springfield, MA Metropolitan Statistical Area
Hampshire	 Massachusetts	162,308	529	Springfield, MA Metropolitan Statistical Area
Middlesex	 Massachusetts	1,632,002	824	Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area
Nantucket	 Massachusetts	14,255	48	
Norfolk	 Massachusetts	725,981	400	Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area
Plymouth	 Massachusetts	530,819	661	Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area
Suffolk	 Massachusetts	797,936	58	Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area
Worcester	 Massachusetts	862,111	1513	Worcester, MA-CT Metropolitan Statistical Area
