Adams	 Mississippi	29,538	460	Natchez, MS-LA Micropolitan Statistical Area
Alcorn	 Mississippi	34,740	400	Corinth, MS Micropolitan Statistical Area
Amite	 Mississippi	12,720	730	
Attala	 Mississippi	17,889	735	
Benton	 Mississippi	7,646	407	
Bolivar	 Mississippi	30,985	876	Cleveland, MS Micropolitan Statistical Area
Calhoun	 Mississippi	13,266	587	
Carroll	 Mississippi	9,998	628	Greenwood, MS Micropolitan Statistical Area
Chickasaw	 Mississippi	17,106	502	
Choctaw	 Mississippi	8,246	419	
Claiborne	 Mississippi	9,135	487	
Clarke	 Mississippi	15,615	691	Meridian, MS Micropolitan Statistical Area
Clay	 Mississippi	18,636	409	West Point, MS Micropolitan Statistical Area
Coahoma	 Mississippi	21,390	554	Clarksdale, MS Micropolitan Statistical Area
Copiah	 Mississippi	28,368	777	Jackson, MS Metropolitan Statistical Area
Covington	 Mississippi	18,340	414	Hattiesburg, MS Metropolitan Statistical Area
DeSoto	 Mississippi	185,314	478	Memphis, TN-MS-AR Metropolitan Statistical Area
Forrest	 Mississippi	78,158	467	Hattiesburg, MS Metropolitan Statistical Area
Franklin	 Mississippi	7,675	565	
George	 Mississippi	24,350	478	
Greene	 Mississippi	13,530	713	
Grenada	 Mississippi	21,629	422	Grenada, MS Micropolitan Statistical Area
Hancock	 Mississippi	46,053	477	Gulfport-Biloxi-Pascagoula, MS Metropolitan Statistical Area
Harrison	 Mississippi	208,621	581	Gulfport-Biloxi-Pascagoula, MS Metropolitan Statistical Area
Hinds	 Mississippi	227,742	869	Jackson, MS Metropolitan Statistical Area
Holmes	 Mississippi	17,000	756	Jackson, MS Metropolitan Statistical Area
Humphreys	 Mississippi	7,785	418	
Issaquena	 Mississippi	1,338	413	
Itawamba	 Mississippi	23,863	532	Tupelo, MS Micropolitan Statistical Area
Jackson	 Mississippi	143,252	727	Gulfport-Biloxi-Pascagoula, MS Metropolitan Statistical Area
Jasper	 Mississippi	16,367	676	Laurel, MS Micropolitan Statistical Area
Jefferson	 Mississippi	7,260	519	
Jefferson Davis	 Mississippi	11,321	408	
Jones	 Mississippi	67,246	694	Laurel, MS Micropolitan Statistical Area
Kemper	 Mississippi	8,988	766	Meridian, MS Micropolitan Statistical Area
Lafayette	 Mississippi	55,813	631	Oxford, MS Micropolitan Statistical Area
Lamar	 Mississippi	64,222	497	Hattiesburg, MS Metropolitan Statistical Area
Lauderdale	 Mississippi	72,984	704	Meridian, MS Micropolitan Statistical Area
Lawrence	 Mississippi	12,016	431	
Leake	 Mississippi	21,275	583	
Lee	 Mississippi	83,343	450	Tupelo, MS Micropolitan Statistical Area
Leflore	 Mississippi	28,339	592	Greenwood, MS Micropolitan Statistical Area
Lincoln	 Mississippi	34,907	586	Brookhaven, MS Micropolitan Statistical Area
Lowndes	 Mississippi	58,879	502	Columbus, MS Micropolitan Statistical Area
Madison	 Mississippi	109,145	719	Jackson, MS Metropolitan Statistical Area
Marion	 Mississippi	24,441	542	
Marshall	 Mississippi	33,752	706	Memphis, TN-MS-AR Metropolitan Statistical Area
Monroe	 Mississippi	34,180	764	
Montgomery	 Mississippi	9,822	407	
Neshoba	 Mississippi	29,087	570	
Newton	 Mississippi	21,291	578	
Noxubee	 Mississippi	10,285	695	
Oktibbeha	 Mississippi	51,788	458	Starkville, MS Micropolitan Statistical Area
Panola	 Mississippi	33,208	684	
Pearl River	 Mississippi	56,145	812	Picayune, MS Micropolitan Statistical Area
Perry	 Mississippi	11,511	647	Hattiesburg, MS Metropolitan Statistical Area
Pike	 Mississippi	40,324	409	McComb, MS Micropolitan Statistical Area
Pontotoc	 Mississippi	31,184	497	Tupelo, MS Micropolitan Statistical Area
Prentiss	 Mississippi	25,008	415	Tupelo, MS Micropolitan Statistical Area
Quitman	 Mississippi	6,176	405	
Rankin	 Mississippi	157,031	775	Jackson, MS Metropolitan Statistical Area
Scott	 Mississippi	27,990	609	
Sharkey	 Mississippi	3,800	428	
Simpson	 Mississippi	25,949	589	Jackson, MS Metropolitan Statistical Area
Smith	 Mississippi	14,209	636	
Stone	 Mississippi	18,333	445	Gulfport-Biloxi, MS Metropolitan Statistical Area
Sunflower	 Mississippi	25,971	694	Indianola, MS Micropolitan Statistical Area
Tallahatchie	 Mississippi	12,715	644	
Tate	 Mississippi	28,064	404	Memphis, TN-MS-AR Metropolitan Statistical Area
Tippah	 Mississippi	21,815	458	
Tishomingo	 Mississippi	18,850	424	
Tunica	 Mississippi	9,782	455	Memphis, TN-MS-AR Metropolitan Statistical Area
Union	 Mississippi	27,777	416	
Walthall	 Mississippi	13,884	404	
Warren	 Mississippi	44,722	587	Vicksburg, MS Micropolitan Statistical Area
Washington	 Mississippi	44,922	724	Greenville, MS Micropolitan Statistical Area
Wayne	 Mississippi	19,779	810	
Webster	 Mississippi	9,926	423	Starkville, MS Micropolitan Statistical Area
Wilkinson	 Mississippi	8,587	677	
Winston	 Mississippi	17,714	607	
Yalobusha	 Mississippi	12,481	467	
Yazoo	 Mississippi	26,743	920	Jackson, MS Metropolitan Statistical Area
