Churchill	 Nevada	25,516	144	Fallon, NV Micropolitan Statistical Area
Clark	 Nevada	2,265,461	4929	Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area
Douglas	 Nevada	49,488	7911	Gardnerville Ranchos, NV Micropolitan Statistical Area
Elko	 Nevada	53,702	710	Elko, NV Micropolitan Statistical Area
Esmeralda	 Nevada	729	17182	
Eureka	 Nevada	1,855	3589	Elko, NV Micropolitan Statistical Area
Humboldt	 Nevada	17,285	4176	Winnemucca, NV Micropolitan Statistical Area
Lander	 Nevada	5,734	9658	
Lincoln	 Nevada	4,499	5798	
Lyon	 Nevada	59,235	10635	Fernley, NV Micropolitan Statistical Area
Mineral	 Nevada	4,554	1994	
Nye	 Nevada	51,591	3757	Pahrump, NV Micropolitan Statistical Area
Pershing	 Nevada	6,650	18147	
Storey	 Nevada	4,104	6009	Reno, NV Metropolitan Statistical Area
Washoe	 Nevada	486,492	264	Reno, NV Metropolitan Statistical Area
White Pine	 Nevada	9,080	6342	
Carson City	 Nevada	58,639	8877	Carson City, NV Metropolitan Statistical Area
