Adams	 Pennsylvania	103,852	522	Gettysburg, PA Metropolitan Statistical Area
Allegheny	 Pennsylvania	1,250,578	745	Pittsburgh, PA Metropolitan Statistical Area
Armstrong	 Pennsylvania	65,558	664	Pittsburgh, PA Metropolitan Statistical Area
Beaver	 Pennsylvania	168,215	444	Pittsburgh, PA Metropolitan Statistical Area
Bedford	 Pennsylvania	47,577	1015	
Berks	 Pennsylvania	428,849	866	Reading, PA Metropolitan Statistical Area
Blair	 Pennsylvania	122,822	527	Altoona, PA Metropolitan Statistical Area
Bradford	 Pennsylvania	59,967	1161	Sayre, PA Micropolitan Statistical Area
Bucks	 Pennsylvania	646,538	622	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area
Butler	 Pennsylvania	193,763	795	Pittsburgh, PA Metropolitan Statistical Area
Cambria	 Pennsylvania	133,472	693	Johnstown, PA Metropolitan Statistical Area
Cameron	 Pennsylvania	4,547	399	
Carbon	 Pennsylvania	64,749	387	Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area
Centre	 Pennsylvania	158,172	1112	State College, PA Metropolitan Statistical Area
Chester	 Pennsylvania	534,413	760	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area
Clarion	 Pennsylvania	37,241	609	
Clearfield	 Pennsylvania	80,562	1154	DuBois, PA Micropolitan Statistical Area
Clinton	 Pennsylvania	37,450	898	Lock Haven, PA Micropolitan Statistical Area
Columbia	 Pennsylvania	64,727	490	Bloomsburg-Berwick, PA Metropolitan Statistical Area
Crawford	 Pennsylvania	83,938	1038	Meadville, PA Micropolitan Statistical Area
Cumberland	 Pennsylvania	259,469	551	Harrisburg-Carlisle, PA Metropolitan Statistical Area
Dauphin	 Pennsylvania	286,401	558	Harrisburg-Carlisle, PA Metropolitan Statistical Area
Delaware	 Pennsylvania	576,830	191	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area
Elk	 Pennsylvania	30,990	832	St. Mary's, PA Micropolitan Statistical Area
Erie	 Pennsylvania	270,876	799	Erie, PA Metropolitan Statistical Area
Fayette	 Pennsylvania	128,804	798	Pittsburgh, PA Metropolitan Statistical Area
Forest	 Pennsylvania	6,973	431	
Franklin	 Pennsylvania	155,932	771	Chambersburg-Waynesboro, PA Metropolitan Statistical Area
Fulton	 Pennsylvania	14,556	438	
Greene	 Pennsylvania	35,954	578	
Huntingdon	 Pennsylvania	44,092	889	Huntingdon, PA Micropolitan Statistical Area
Indiana	 Pennsylvania	83,246	834	Indiana, PA Micropolitan Statistical Area
Jefferson	 Pennsylvania	44,492	657	
Juniata	 Pennsylvania	23,509	394	
Lackawanna	 Pennsylvania	215,896	465	Scranton–Wilkes-Barre–Hazleton, PA Metropolitan Statistical Area
Lancaster	 Pennsylvania	552,984	984	Lancaster, PA Metropolitan Statistical Area
Lawrence	 Pennsylvania	86,070	363	New Castle, PA Micropolitan Statistical Area
Lebanon	 Pennsylvania	143,257	363	Lebanon, PA Metropolitan Statistical Area
Lehigh	 Pennsylvania	374,557	349	Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area
Luzerne	 Pennsylvania	325,594	907	Scranton–Wilkes-Barre–Hazleton, PA Metropolitan Statistical Area
Lycoming	 Pennsylvania	114,188	1244	Williamsport, PA Metropolitan Statistical Area
McKean	 Pennsylvania	40,432	984	Bradford, PA Micropolitan Statistical Area
Mercer	 Pennsylvania	110,652	683	Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area
Mifflin	 Pennsylvania	46,143	415	Lewistown, PA Micropolitan Statistical Area
Monroe	 Pennsylvania	168,327	617	East Stroudsburg, PA Metropolitan Statistical Area
Montgomery	 Pennsylvania	856,553	487	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area
Montour	 Pennsylvania	18,136	132	Bloomsburg-Berwick, PA Metropolitan Statistical Area
Northampton	 Pennsylvania	312,951	377	Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area
Northumberland	 Pennsylvania	91,647	477	Sunbury, PA Micropolitan Statistical Area
Perry	 Pennsylvania	45,842	556	Harrisburg-Carlisle, PA Metropolitan Statistical Area
Philadelphia	 Pennsylvania	1,603,797	143	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area
Pike	 Pennsylvania	58,535	567	New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area
Potter	 Pennsylvania	16,396	1081	
Schuylkill	 Pennsylvania	143,049	778	Pottsville, PA Micropolitan Statistical Area
Snyder	 Pennsylvania	39,736	332	Selinsgrove, PA Micropolitan Statistical Area
Somerset	 Pennsylvania	74,129	1081	Somerset, PA Micropolitan Statistical Area
Sullivan	 Pennsylvania	5,840	452	
Susquehanna	 Pennsylvania	38,434	832	
Tioga	 Pennsylvania	41,045	1137	
Union	 Pennsylvania	42,681	317	Lewisburg, PA Micropolitan Statistical Area
Venango	 Pennsylvania	50,454	683	Oil City, PA Micropolitan Statistical Area
Warren	 Pennsylvania	38,587	898	Warren, PA Micropolitan Statistical Area
Washington	 Pennsylvania	209,349	861	Pittsburgh, PA Metropolitan Statistical Area
Wayne	 Pennsylvania	51,155	751	
Westmoreland	 Pennsylvania	354,663	1036	Pittsburgh, PA Metropolitan Statistical Area
Wyoming	 Pennsylvania	26,069	406	Scranton–Wilkes-Barre–Hazleton, PA Metropolitan Statistical Area
York	 Pennsylvania	456,438	910	York-Hanover, PA Metropolitan Statistical Area
